,name_vacancy,salary_min,salary_max,salary_currency,url_vacancy,source
36,Водитель-курьер (выходного дня),,102 000,руб.,https://hh.ru/vacancy/45263689?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
37,"Курьер пеший( без продаж, метро Тушинская)",35 000,35 000,руб.,https://hh.ru/vacancy/44867551?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
38,Водитель-курьер на автомобиле компании(м.Варшавская),35 000,120 000,руб.,https://hh.ru/vacancy/46607440?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
39,Водитель-курьер на личном автомобиле (ул. Рябиновая),35 000,120 000,руб.,https://hh.ru/vacancy/46479023?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
40,Водитель-курьер на личном автомобиле(м.Дубровка),35 000,120 000,руб.,https://hh.ru/vacancy/46483137?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
41,Водитель-курьер,90 000,110 000,руб.,https://hh.ru/vacancy/46891649?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
42,Водитель-курьер на личном автомобиле(м.Чертановская),90 000,120 000,руб.,https://hh.ru/vacancy/46483974?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
43,Водитель-курьер на личном автомобиле (м.Киевская),90 000,120 000,руб.,https://hh.ru/vacancy/46607185?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
44,Курьер,75 000,120 000,руб.,https://hh.ru/vacancy/47279281?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
45,Пеший курьер (Инвитро),75 000,75 000,руб.,https://hh.ru/vacancy/47273841?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
46,Курьер по району (свободный график),75 000,60 000,руб.,https://hh.ru/vacancy/44621349?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
47,Курьер,25 000,35 000,руб.,https://hh.ru/vacancy/47294605?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
48,Водитель-курьер с личным автомобилем,80 000,100 000,руб.,https://hh.ru/vacancy/47279803?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
49,Курьер,,100 000,руб.,https://hh.ru/vacancy/45688302?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
50,Водитель-курьер на личном автомобиле,90 000,100 000,руб.,https://hh.ru/vacancy/47287014?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
51,Водитель-курьер с личным легковым автомобилем,90 000,150 000,руб.,https://hh.ru/vacancy/47284063?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
52,Водитель-курьер(доставка документов),60 000,75 000,руб.,https://hh.ru/vacancy/47291018?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
53,Курьер (доставка документов),35 000,55 000,руб.,https://hh.ru/vacancy/46389321?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
54,Водитель-курьер на автомобиле компании,70 000,90 000,руб.,https://hh.ru/vacancy/46476711?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
55,Водитель-Курьер на личном автомобиле по доставке заказов СДЭК,80 000,100 000,руб.,https://hh.ru/vacancy/47278527?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
56,Водитель-курьер с личным автомобилем,80 000,120 000,руб.,https://hh.ru/vacancy/46184414?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
57,Водитель-курьер на личном автомобиле,,120 000,руб.,https://hh.ru/vacancy/41737702?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
58,Пеший курьер/курьер на электровелосипед в Dominos Pizza (м. Преображенская площадь),,75 000,руб.,https://hh.ru/vacancy/47272365?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
59,Водитель-курьер,95 000,105 000,руб.,https://hh.ru/vacancy/47230074?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
60,Курьер - водитель на личном автомобиле,60 000,90 000,руб.,https://hh.ru/vacancy/47304650?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
61,Пеший курьер,53 000,53 000,руб.,https://hh.ru/vacancy/46773464?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
62,Автокурьер на личном автомобиле,100 000,150 000,руб.,https://hh.ru/vacancy/47200357?query=%D0%BA%D1%83%D1%80%D1%8C%D0%B5%D1%80,https://hh.ru
